plano,pieza,cant,material,espesor_mm,desarrollo_x_mm,desarrollo_y_mm,barrenos,pliegues
LBD-01,"FAB · Cabezal porta-nosebar entrada PL6 470×90",2,"Acero S275JR PL6 — PINTADO RAL 7035",6,470.0,90.0,18,0
LBD-02,"FAB · Guarda inferior unica — artesa U chapa 1.5 (800×488)",1,"Acero S275JR e1.5 — terminación PINTADO RAL 7035",1.5,1372.8,1119.6,0,4
LBD-03,"FAB · Mecha porta-chumacera PL8 motriz 320×322",2,"Acero S275JR PL8 — PINTADO RAL 7035",8,320.0,322.0,5,0
LBD-04,"FAB · Mecha porta-chumacera PL8 tensor 320×212",2,"Acero S275JR PL8 — PINTADO RAL 7035",8,320.0,212.0,5,0
LBD-05,"FAB · Placa lateral libre (−Y) PL6 L=800",2,"Acero S275JR PL6 — terminación PINTADO RAL 7035 (decisión Sergio 12-08)",6,800.0,199.6,1,1
LBD-06,"FAB · Riostra de soportes (tipo ZP2026)",1,"Acero S275JR e3 — plegado en C 88×40 (matriz ZP2026), PINTADO RAL 7035. SOLDAR a soportes según GA",3,387.0,157.6,0,2
LBD-07,"FAB · Travesaño tipo ZP2026 (TR_S) — C 88×40×3",1,"Acero S275JR e3 — plegado en C 88×40 (matriz ZP2026), PINTADO RAL 7035. SOLDAR a placas laterales según GA",3,470.0,157.6,0,2
